sample,adc,filtered,lead_off
1127,5169,-216.602,0
1128,5185,-218.527,0
1129,5241,-216.921,0
1130,5317,-210.386,0
1131,5366,-197.616,0
1132,5379,-177.288,0
1133,5382,-148.793,0
1134,5377,-113.159,0
1135,5348,-73.313,0
1136,5296,-33.727,0
1137,5267,0.238,0
1138,5273,23.400,0
1139,5313,32.448,0
1140,5349,27.546,0
1141,5359,12.691,0
1142,5365,-5.675,0
1143,5398,-20.946,0
1144,5436,-28.076,0
1145,5474,-24.212,0
1146,5516,-8.674,0
1147,5550,17.331,0
1148,5540,51.126,0
1149,5494,88.864,0
1150,5453,125.687,0
1151,5399,156.217,0
1152,5376,175.619,0
1153,5372,180.844,0
1154,5396,171.590,0
1155,5443,150.628,0
1156,5476,123.347,0
1157,5506,96.521,0
1158,5523,76.619,0
1159,5537,68.275,0
1160,5561,73.449,0
1161,5610,91.484,0
1162,5657,119.922,0
1163,5671,155.480,0
1164,5652,194.501,0
1165,5610,232.826,0
1166,5554,265.761,0
1167,5505,288.626,0
1168,5489,297.838,0
1169,5497,292.101,0
1170,5521,273.133,0
1171,5540,245.402,0
1172,5539,214.814,0
1173,5549,186.952,0
1174,5591,165.855,0
1175,5671,154.047,0
1176,5707,153.390,0
1177,5690,165.258,0
1178,5665,189.353,0
1179,5641,222.347,0
